Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;303995;;;Solar Plus;75,00;;;;
V;304108;;;Installationsledning Brandsäker Nexans;80,74;;;;
V;304120;;;Inst.Ledning FQ Easy Nexans;57,93;;;;
V;304122;;;Inst.Ledning FQ Easy tvinnad Nexans;59,59;;;;
V;304124;;;Inst.Ledning EXQ Easy Nexans;63,21;;;;
V;304126;;;Inst.Ledning EQLQ Easy Nexans;63,84;;;;
V;304128;;;Inst.Ledning FQLQ Nexans;59,93;;;;
V;304130;;;Inst.Ledning EQRQ Nexans;64,77;;;;
V;304132;;;Inst. Ledning FQQ Nexans;55,18;;;;
V;304134;;;Inst. Ledning MQQ Nexans;49,02;;;;
V;304222;;;Inst.Ledning EXQ Xtra NKT;60,73;;;;
V;304224;;;Inst.Ledning EXLQ Xtra NKT;66,52;;;;
V;304226;;;Inst.Ledning FXLQ Xtra NKT;58,48;;;;
V;304228;;;Inst.Ledning FQ Xtra NKT;53,97;;;;
V;304401;;;QnE FQ/RQ QnE PM Flex PM6B1;55,30;;;;
V;304402;;;QnE FQ QnE PM Flex PM6B2;54,04;;;;
V;304403;;;QnE Diverse QnE PM Flex PM6C1;54,35;;;;
V;304404;;;QnE Diverse QnE EXQ-Light PM Flex PM6C2;53,37;;;;
V;304500;;;Funktionssäker kabel Rutab;75,05;;;;
V;304990;;;Solar Plus Inst ledning EXQ;75,00;;;;
V;304991;;;Solar Plus Inst ledning EXLQ;75,00;;;;
V;304992;;;Solar Plus EXQ TT;75,00;;;;
V;304994;;;Solar Netto;50,00;;;;
V;304995;;;Solar Plus;75,00;;;;
V;305102;;;Anslutningsledning PVC Nexans;81,38;;;;
V;305104;;;Gummikabel Klen Titanex Nexans;81,01;;;;
V;305106;;;Gummikabel Tung Titanex Nexans;75,97;;;;
V;305110;;;Svetskabel Nexans;78,51;;;;
V;305200;;;Anlutningsledning Hf NKT;75,00;;;;
V;305204;;;Solcellskabel NKT;50,43;;;;
V;305300;;;QnE Diverse QnE H1Z2Z2-K PM Flex PM6C2;73,00;;;;
V;305402;;;Kran - Flatkabel;83,27;;;;
V;305406;;;Anslutningsledning Värmebeständig;79,16;;;;
V;305408;;;Svetskabel;49,46;;;;
V;305410;;;Krankabel rund Faber;50,06;;;;
V;305411;;;Krankabel flat Faber;50,06;;;;
V;305500;;;Gummikabel Solar;76,19;;;;
V;305502;;;Solpanel kabel;77,63;;;;
V;305504;;;Gummikabel Hav/Sjö 1,5-25;48,93;;;;
V;305508;;;Motorkabel Solar Cable;46,24;;;;
V;305510;;;Gummikabel 90ggr Solar;48,93;;;;
V;305600;;;Anslutningskabel Rutab;71,51;;;;
V;305602;;;Kran - Flatkabel Rutab;82,69;;;;
V;305604;;;Anslutningskabel, Motor Rutab;78,43;;;;
V;305606;;;Anslutningskabel TPPU Rutab;68,67;;;;
V;305620;;;Dricksvattenkabel;73,54;;;;
V;305702;;;Solcellskabel  Melbye;50,00;;;;
V;305994;;;Solar Netto;50,00;;;;
V;305995;;;Solar Plus;75,00;;;;
V;306101;;;Korrugerade kabelrör Pipelife X;63,57;;;;
V;306102;;;Korrugerade kabelrör Pipelife;63,02;;;;
V;306104;;;DV rör Pipelife;63,37;;;;
V;306105;;;SRN rör Pipelife;65,96;;;;
V;306106;;;Tillbehör DV/SRS/SRE Pipelife;62,14;;;;
V;306107;;;Flexböj Svart Pipelife;64,89;;;;
V;306108;;;Tillbehör Brunnslock etc Pipelife;62,96;;;;
V;306110;;;SRE-P rör Pipelife;63,88;;;;
V;306112;;;Pem kabelrör Pipelife;64,18;;;;
V;306114;;;SRS rör Pipelife;63,16;;;;
V;306116;;;Markeringsband nät Pipelife;63,06;;;;
V;306118;;;Kabelrör SPN/SPP Pipelife;62,14;;;;
V;306120;;;Optokanalisation Pipelife;66,33;;;;
V;306122;;;Kabelrör delbara Pipelife;61,53;;;;
V;306126;;;Manchetter Pipelife;63,37;;;;
V;306128;;;UV SRS/SRE Pipelife;63,78;;;;
V;306130;;;Fästen Pipelife;62,69;;;;
V;306132;;;Tele rör PVC Pipelife;60,40;;;;
V;306134;;;Böj/Skarv orange Pipelife;64,29;;;;
V;306150;;;Varningsnät Expo-Net;22,07;;;;
V;306200;;;Potential-/skyddsutjämningssystem OBO;54,51;;;;
V;306201;;;Åskskyddssystem OBO;59,49;;;;
V;306202;;;Tbh Åskskyddssystem OBO;60,49;;;;
V;306204;;;Jordningssystem OBO;59,49;;;;
V;306206;;;Skensystem OBO;59,49;;;;
V;306208;;;Kabelhållarsystem skärm OBO;59,49;;;;
V;306210;;;Plugg OBO;59,59;;;;
V;306212;;;Monteringssystem OBO;59,49;;;;
V;306220;;;Fundanmentjordning RD, FL, Klämmor DEHN;50,00;;;;
V;306222;;;Potentialutjämning Skenor, Band DEHN;53,19;;;;
V;306224;;;Yttre åskskydd RD8 AL CU Takfäste DEHN;50,00;;;;
V;306226;;;Jordtagsspett klämmor DEHN;52,13;;;;
V;306250;;;SRE Evopipe Evopipes;52,13;;;;
V;306251;;;SRN Evopipe Evopipes;52,13;;;;
