Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;321124;;;Jordfelsbrytare Hager X;73,64;;;;
V;321126;;;Jordfelsbrytare Hager II;73,93;;;;
V;321127;;;Personskyddsaut. Hager X;70,61;;;;
V;321128;;;Personskyddsaut. Hager;70,16;;;;
V;321130;;;Tbh norm Hager;72,78;;;;
V;321200;;;Dvärgbrytare iC60H B SB =S=O;62,16;;;;
V;321202;;;Dvärgbrytare iC60H C SB =S=O;71,46;;;;
V;321204;;;Dvärgbrytare iC60H D SB =S=O;53,38;;;;
V;321206;;;Dvärgbrytare iC60N B SB =S=O;64,89;;;;
V;321208;;;Dvärgbrytare iC60N C SB =S=O;71,46;;;;
V;321210;;;Dvärgbrytare iC60N D SB =S=O;50,84;;;;
V;321211;;;DVÄRGBRYTARE RESI9 =S=O;43,88;;;;
V;321212;;;Dvärgbrytare C60H D SF =S=O;54,08;;;;
V;321213;;;Dvärgbrytare C60H D RA =S=O;54,08;;;;
V;321220;;;Jordfelsbrytare A9 I SA =S=O;70,36;;;;
V;321222;;;Jordfelsbrytare A9 II SA =S=O;71,43;;;;
V;321224;;;Jordfelsbrytare ID SA =S=O;58,21;;;;
V;321228;;;Personskyddsbr. A9 iVigi/iDPN SA =S=O;66,41;;;;
V;321231;;;Compact RCBO B-kurva SB =S=O;77,11;;;;
V;321234;;;Ljusbågsvakt AFDD SA =S=O;42,59;;;;
V;321236;;;Resi9 & Wiser SU =S=O;46,30;;;;
V;321240;;;Tbh C60 SP =S=O;79,34;;;;
V;321241;;;Tbh C60 SA =S=O;79,34;;;;
V;321242;;;Fasskena A9 SC =S=O;59,64;;;;
V;321244;;;Fasskena C60 SQ =S=O;76,52;;;;
V;321246;;;Huvudbrytare Norm VARIO BL =S=O;74,40;;;;
V;321248;;;Normomkopplare A9 RJ =S=O;47,87;;;;
V;321260;;;A9 C120N+VigiC120 RA =S=O;52,20;;;;
V;321262;;;A9 iC60L/iC60HDC/Reflex/DPN N RD =S=O;34,80;;;;
V;321276;;;Kommunikation Smartlink UF =S=O;62,00;;;;
V;321277;;;Kommunikation Smartlink BK =S=O;62,00;;;;
V;321278;;;NG125/VigiNG125 SB =S=O;77,18;;;;
V;321279;;;NG125/VigiNG125 SA =S=O;77,18;;;;
V;321280;;;Tbh elektriska A9 RN =S=O;62,38;;;;
V;321282;;;Tbh mekaniska A9 SB =S=O;30,42;;;;
V;321290;;;Tbh normkapsling I SR =S=O;81,60;;;;
V;321292;;;Normkapsling Mini-Opale RC =S=O;83,47;;;;
V;321294;;;MCB Multi9 UL SF =S=;38,78;;;;
V;321296;;;MCB Multi9 IEC SG =S=O;38,78;;;;
V;321300;;;Dvärgbrytare S200 71-70 ABB;76,02;;;;
V;321302;;;Dvärgbrytare S200 71-42 ABB;76,02;;;;
V;321304;;;Dvärgbrytare S200 71-73 ABB;76,02;;;;
V;321306;;;Dvärgbrytare S200 71-55 ABB;76,02;;;;
V;321307;;;Dvärgbrytare S200 71-57 ABB;76,02;;;;
V;321308;;;Dvärgbrytare S200 71-77 ABB;76,02;;;;
V;321309;;;Dvärgbrytare S200 71-64 ABB;76,02;;;;
V;321313;;;Dvärgbrytare S200 71-75 ABB;76,02;;;;
V;321314;;;Fasskena PS ABB;74,86;;;;
V;321315;;;Fasskena 71-net ABB;76,53;;;;
V;321320;;;Jordfelsbrytare F200 ABB;74,60;;;;
V;321321;;;Jordfelsbrytare F200 II ABB;74,60;;;;
V;321326;;;Personskyddsbrytare ABB;75,10;;;;
V;321327;;;Personskyddsbrytare 72-58  ABB;73,47;;;;
V;321328;;;Personskyddsbrytare 72-64 ABB;75,10;;;;
V;321329;;;Personskyddsbrytare 72-75 ABB;75,10;;;;
V;321330;;;Personskyddsbrytare Netto ABB;48,98;;;;
V;321338;;;Normmateriel Fästmateriel ABB;61,93;;;;
V;321340;;;Tbh Dvärgbrytare S200 71-42 ABB;74,80;;;;
V;321342;;;Tbh Normapparater ABB;74,29;;;;
V;321350;;;Kopplingsur ABB;64,21;;;;
V;321352;;;Kortsl.begränsare S800 ABB;70,80;;;;
V;321354;;;Lastbrytare I ABB;76,73;;;;
V;321400;;;Dvärgbrytare 5SL6 001 Sie I;78,27;;;;
V;321401;;;Dvärgbrytare 5SL4 I 001 SIE;89,80;;;;
V;321402;;;Dvärgbrytare 5SL6 001 Sie II;79,39;;;;
V;321403;;;Dvärgbrytare 5SL4 II 001 SIE;89,80;;;;
V;321404;;;Dvärgbrytare 5SP4 002 SIE;82,65;;;;
V;321406;;;Dvärgbrytare 5SY4 002 Sie I;69,60;;;;
V;321408;;;Dvärgbrytare 5SY4 002 Sie II;77,55;;;;
V;321410;;;Dvärgbrytare 5SY5 002 SIE;82,86;;;;
V;321412;;;Dvärgbrytare 5SY6 001 Sie I;81,02;;;;
V;321414;;;Dvärgbrytare 5SY6 001 Sie II;79,94;;;;
V;321416;;;Dvärgbrytare 5SY7 003 SIE;82,65;;;;
V;321418;;;Dvärgbrytare 5SY8 003 SIE;84,51;;;;
V;321420;;;Dvärgbrytare special 019 SIE;80,82;;;;
V;321422;;;Dvärgbrytare 5SJ6 001 SIE;73,06;;;;
V;321424;;;Dvärgbrytare UL489 005 SIE;80,82;;;;
V;321428;;;Jordfelsbrytare 5SM2 011 SIE;82,65;;;;
V;321430;;;Jordfelsbrytare 5SM3 011 Sie I;48,98;;;;
V;321432;;;Jordfelsbrytare 5SM3 011 Sie II;76,77;;;;
V;321436;;;Personskyddsaut 5SU1 008 Sie I;75,19;;;;
V;321438;;;Personskyddsaut 5SU1 008 Sie II;80,41;;;;
V;321440;;;Ljusbågsvakter 007 SIE;73,06;;;;
V;321441;;;AFD+Dvärgbrytare 1BA SIE;38,78;;;;
V;321460;;;Tbh dvärgbrytare 020 Sie I;82,71;;;;
V;321462;;;Tbh dvärgbrytare 020 Sie II;81,02;;;;
V;321470;;;Normcentraler Simbox  Tbh 032 SIE;77,14;;;;
V;321480;;;N-komp övervakningsapp anl 026 SIE;80,82;;;;
V;321484;;;N-komp Strömst 5TE 029 Sie I;83,00;;;;
V;321486;;;N-komp Strömst 5TE 029 Sie II;79,39;;;;
V;321500;;;Dvärgbrytare 1489-M UL489 B501G A-B;61,77;;;;
V;321502;;;Dvärgbrytare 1492-SPM B503G A-B;61,91;;;;
V;321504;;;Dvärgbrytare 188-J X286A A-B;60,41;;;;
V;321506;;;Tbh dvärgbrytare 189-/189 B502G A-B;62,90;;;;
V;321510;;;Jordfelsbrytare 1492-RCD B503G A-B;65,20;;;;
V;321512;;;Normapparater 1492-CB,1492-GH AB;63,07;;;;
V;321600;;;Normapparater Eldon I;61,02;;;;
V;321602;;;Normapparater Eldon II;58,67;;;;
V;321606;;;Normapparater Eldon IIII;60,82;;;;
V;321704;;;Personskyddsbrytare II Garo;64,18;;;;
V;321708;;;Kopplingsur Garo;60,68;;;;
V;321712;;;Normkomponenter Garo;60,92;;;;
V;321715;;;Dvärgbrytare 6kA I  Garo;51,02;;;;
V;321716;;;Dvärgbrytare 6kA II Garo;48,98;;;;
V;321717;;;Dvärgbrytare 10kA I Garo;51,02;;;;
V;321718;;;Dvärgbrytare 10kA II Garo;48,98;;;;
V;321719;;;Fasskenor Garo;53,06;;;;
V;321720;;;Jordfelsbrytare I Garo;60,20;;;;
V;321721;;;Jordfelsbrytare II Garo;57,14;;;;
V;321722;;;Personskyddsbrytare I Garo;59,18;;;;
V;321723;;;Huvudbrytare Garo;51,02;;;;
V;321800;;;Huvudbrytare Norm K&N;81,12;;;;
V;321810;;;Sektionsbrytare Norm K&N;72,24;;;;
V;321820;;;Jfb ReStart Gewiss Malthe Winje;44,90;;;;
V;321900;;;Lastfrånskiljare norm COMPACT Ensto;70,20;;;;
V;321910;;;DIN Uttag Phönix;34,69;;;;
V;321930;;;Normprodukter AEG;48,98;;;;
V;321940;;;Normkapslingar Hensel;50,00;;;;
V;321970;;;Dvärgbrytare Eaton 2500;24,19;;;;
V;321994;;;Solar Netto;50,00;;;;
V;321995;;;Solar Plus;50,00;;;;
V;322100;;;Kapsling Gamma Hager I;68,71;;;;
V;322101;;;Kapsling Gamma Hager X;69,18;;;;
V;322102;;;Kapsling Gamma Hager II;69,18;;;;
V;322103;;;Kapsling Gamma Hager III;69,40;;;;
V;322110;;;Kapsling Vector Hager;69,18;;;;
V;322112;;;Kapsling Volta Hager;69,18;;;;
V;322114;;;Kapslingar övriga Hager;69,18;;;;
V;322120;;;Media och Kombicentraler Hager;68,57;;;;
V;322122;;;Mätarblock, -tavlor & -skåp Hager;70,88;;;;
V;322124;;;Normskåp Hager;69,18;;;;
V;322126;;;Kapsling FW Hager;69,39;;;;
V;322128;;;Väggskåp univers Hager;69,39;;;;
V;322130;;;Skåp univers Hager;69,39;;;;
V;322140;;;Tbh normkapslingar Hager;69,18;;;;
V;322142;;;Data/Tele/TV Hager;69,18;;;;
V;322200;;;Centraler AD Eldon;65,92;;;;
V;322202;;;Norm tbh AD Eldon;66,84;;;;
V;322204;;;Centraler AM Eldon;63,16;;;;
V;322206;;;Normkapsling DB AQ Eldon;62,14;;;;
V;322208;;;Norm tbh AN Eldon;72,34;;;;
V;322210;;;Mätarskåp & tavlor Eldon;67,35;;;;
V;322220;;;Normel AJ Eldon;63,06;;;;
V;322222;;;Normel AM Eldon;56,84;;;;
V;322224;;;Normel AG Eldon;58,47;;;;
V;322230;;;Normkapsling ENVQ AJ Eldon;60,76;;;;
V;322232;;;Normel AN Eldon;60,41;;;;
V;322300;;;Normkapsling SR =S=O;77,65;;;;
V;322301;;;Normkapsling PrismaSeT SC =S=;62,55;;;;
V;322304;;;Skensystem CMD/AK5 MD =S=O;66,94;;;;
V;322306;;;Tbh normkapsling II SR =S=O;76,22;;;;
V;322307;;;Tbh normkapsling II MB =S=O;76,22;;;;
V;322308;;;MG + Övriga fasskenor/plint SQ =S=;38,78;;;;
V;322310;;;Normkapsling Resi9 RC =S=;56,38;;;;
V;322404;;;Normkapsling ABB I;67,96;;;;
V;322406;;;Normkapsling ABB II;65,50;;;;
V;322408;;;Normkapsling ABB III;68,16;;;;
V;322600;;;Centralsystem IP20 Garo;65,15;;;;
V;322602;;;Mätarblock & -tavlor Garo;65,83;;;;
V;322603;;;Mätarskåp Garo X;57,14;;;;
V;322604;;;Mätarskåp Garo;56,49;;;;
V;322611;;;Kapsling norm plast utanpål. Garo;53,06;;;;
V;322612;;;Kapsling norm plåt utanpål. Garo;52,04;;;;
V;322613;;;Kapsling norm plåt infälld. Garo;52,04;;;;
V;322614;;;Media och Kombicentraler Garo;53,06;;;;
V;322615;;;Tbh normkapslingar Garo;51,02;;;;
V;322620;;;Tillfällig El Tbh Elflex Garo;63,06;;;;
V;322700;;;Elfördeln Alpha DIN + Alpha AS 039 SIE;65,71;;;;
V;322702;;;Normcentraler Simbox 032 SIE;72,76;;;;
V;322704;;;Säkringslastbrytare m.Tbh 143 Sie;80,61;;;;
V;322904;;;Media Och Kombicentraler Ensto;58,77;;;;
V;322906;;;Normkapsling medTbh Rittal;71,43;;;;
V;322908;;;Skensystem Rittal;69,39;;;;
V;322990;;;Solar Plus Mätarplatser;50,00;;;;
V;322991;;;Solar Plus Centraler;50,00;;;;
V;322994;;;Solar Netto;50,00;;;;
V;322995;;;Solar Plus;50,00;;;;
V;323100;;;HPK Eldon;53,37;;;;
V;323104;;;Unik-T Eldon I;49,08;;;;
V;323110;;;Tbh Eldon I;55,49;;;;
V;323114;;;Tbh Eldon II;53,97;;;;
V;323200;;;Centralsystem Garo;55,14;;;;
V;323300;;;Kabelskåp Kabeldon;36,01;;;;
V;323994;;;Solar Netto;50,00;;;;
V;324100;;;MVC GARO;49,12;;;;
V;324104;;;MVC I GARO;47,74;;;;
V;324108;;;MVC II GARO;48,29;;;;
V;324110;;;MVC III Garo;49,49;;;;
V;324112;;;Motorvärmare Entity Heat Garo;54,26;;;;
V;324118;;;Billaddare Hager;40,90;;;;
V;324120;;;UTTAGSLÅDOR GARO;47,50;;;;
V;324122;;;Laddstolpar Garo;47,42;;;;
V;324124;;;IEC/CEE-don Garo;48,57;;;;
V;324130;;;Tillfällig El  Elflex Garo;47,37;;;;
V;324206;;;Laddstationer ABB;46,94;;;;
V;324210;;;Ansl.don IEC o byggplatsc. Amphenol I;54,39;;;;
V;324212;;;Ansl.don IEC o byggplatsc. Amphenol II;57,45;;;;
V;324216;;;Tbh anslutningsdon Amphenol;55,85;;;;
V;324220;;;Spisdon ABB;63,27;;;;
V;324224;;;Blockerade uttag Amphenol;55,31;;;;
V;324228;;;Modulkombi o reservkraft Amphenol;46,91;;;;
V;324300;;;Byggcentraler Elbjörn;37,74;;;;
V;324324;;;CEE-DON Quick BALS;70,20;;;;
V;324400;;;Sladdställ Skarvsladdar Axjo;57,45;;;;
V;324402;;;Sladdställ Skarvsladdar Hf Axjo;55,71;;;;
V;324500;;;Åskskyddssystem vario OBO;57,26;;;;
V;324508;;;Industri- och specialkontaktsystem OBO;43,61;;;;
V;324550;;;Uttag Pelare Niko;36,17;;;;
V;324602;;;Sladdställ Skarvsladdar;72,67;;;;
V;324620;;;Kabelvindor HB =S=;44,43;;;;
V;324700;;;CEE-DON BALS;73,16;;;;
V;324708;;;CEE-DON BALS SPEC.;70,20;;;;
V;324800;;;Laddstationer Norwesco;38,78;;;;
V;324850;;;Laddstationer Eldon;48,98;;;;
V;324890;;;Laddstationer Sellpower;53,72;;;;
V;324900;;;Perilex HD =S=;62,00;;;;
V;324902;;;MVC EL-BE;44,29;;;;
V;324904;;;Div MVC Materiel;44,90;;;;
V;324909;;;Laddstationer Schneider;62,04;;;;
V;324910;;;MVC materiel Fibox;43,27;;;;
V;324912;;;Kabelvindor IRC;52,34;;;;
V;324914;;;LKB  Björkman;55,98;;;;
V;324916;;;Spisdon Norwesco;55,00;;;;
V;324950;;;Laddstationer  Ensto;41,84;;;;
V;324990;;;Solar Plus Kraftuttag CEE;50,00;;;;
V;324991;;;Solar Plus Bil Ladd;50,00;;;;
V;324994;;;Solar Netto;50,00;;;;
V;324995;;;Solar Plus Sladdställ;50,00;;;;
V;325102;;;Väggskåp AE RF Rittal;54,09;;;;
V;325104;;;Kapsling AX Rittal;43,76;;;;
V;325106;;;Tbh Kapsling AX Rittal;43,18;;;;
V;325108;;;Kapsling AX Rf Rittal;43,18;;;;
V;325112;;;VäggskåpTbh Rittal;54,08;;;;
V;325122;;;Golvskåp VX Rittal;55,69;;;;
V;325124;;;Kapsling EB Rittal;55,10;;;;
V;325126;;;Kapsling KL Rittal;54,08;;;;
V;325128;;;Kapsling KX Rittal;43,76;;;;
V;325129;;;Tbh Kapsling KX Rittal;43,18;;;;
V;325130;;;Klimatisering Rittal;55,10;;;;
V;325132;;;Tbh golvskåp Rittal;54,08;;;;
V;325140;;;Dataskåp Rittal;58,16;;;;
V;325200;;;Väggskåp CRN PE =S=O;68,39;;;;
V;325202;;;Väggskåp Rostfritt PD =S=O;66,81;;;;
V;325204;;;Väggskåp S3D I PF =S=O;60,56;;;;
V;325206;;;Väggskåp S3D II PA =S=O;60,65;;;;
V;325208;;;Väggskåp Thalassa PE =S=O;65,34;;;;
V;325220;;;Golvskåp SF I PA =S=O;65,90;;;;
V;325222;;;Golvskåp SF II PA =S=O;65,90;;;;
V;325224;;;Golvskåp SM I PA =S=O;65,98;;;;
V;325226;;;Golvskåp SM II PA =S=O;65,98;;;;
V;325232;;;Kopplingslåda plåt SBM PA =S=O;60,36;;;;
V;325234;;;Kopplingslåda TBP/TBS/Mureva PG =S=O;62,28;;;;
V;325236;;;Pulpet SD PA =S=O;65,22;;;;
V;325240;;;Flänsar S3D PB =S=O;64,24;;;;
V;325242;;;Tbh Golvskåp SF/SM PC =S=O;65,77;;;;
V;325244;;;Tbh väggskåp PF =S=O;64,21;;;;
V;325246;;;Tbh väggskåp S3D PA =S=O;64,22;;;;
V;325250;;;Klimatisering PC =S=O;67,86;;;;
V;325252;;;Actassi Dataskåp 3C =S=;19,76;;;;
V;325254;;;Actassi DataskåpTbh 3B =S=;16,76;;;;
V;325300;;;Plastkapsling CAB Fibox;58,37;;;;
V;325304;;;Plastkapsling EK Fibox;58,71;;;;
V;325306;;;Plastkapsling EURO P Fibox;58,37;;;;
V;325308;;;Plastkapsling EURO PC Fibox;59,28;;;;
V;325310;;;Plastkapsling MNX Fibox;60,15;;;;
V;325312;;;Plastkapsling PICCOLO Fibox;58,47;;;;
V;325314;;;Plastkapsling QUICK Fibox;60,15;;;;
V;325316;;;Plastkapsling SOLID Fibox;58,50;;;;
V;325320;;;Apparatskåp ARCA Fibox;60,15;;;;
V;325322;;;Apparatskåp ARCATbh Fibox;64,29;;;;
V;325326;;;Metallkapsling ALU Fibox;58,37;;;;
V;325340;;;Tbh kapsling Fibox I;60,15;;;;
V;325342;;;Tbh kapsling Fibox II;59,27;;;;
V;325344;;;Tbh kapsling CAB (RF) Fibox;61,14;;;;
V;325346;;;Flänsmateriel Fibox;62,33;;;;
V;325400;;;Kapsling Cubo C Ensto;63,88;;;;
V;325402;;;Kapsling CUBO D ABS Ensto;56,02;;;;
V;325404;;;Kapsling CUBO D PC Ensto;58,37;;;;
V;325408;;;Kapsling CUBO H AL Ensto;57,04;;;;
V;325410;;;Kapsling CUBO M Ensto;57,96;;;;
V;325412;;;Kapsling CUBO O ABS Ensto;65,31;;;;
V;325414;;;Kapsling CUBO O PC Ensto;65,31;;;;
V;325418;;;Kapsling CUBO S ABS Ensto;57,00;;;;
V;325420;;;Kapsling CUBO S PC Ensto;69,39;;;;
V;325422;;;Kapsling CUBOTbh Ensto;69,39;;;;
V;325430;;;Kapsling Special Ensto;58,78;;;;
V;325432;;;Kopplingslåda CUBO T Ensto;58,57;;;;
V;325434;;;Kopplingslåda CUBO W Ensto;53,55;;;;
V;325454;;;Mediacentral &Tbh Ensto;58,21;;;;
V;325460;;;DIN-skena CUBO Ensto;65,10;;;;
V;325462;;;Flänsmateriel Ensto;70,00;;;;
V;325466;;;Montageplåt CUBO Ensto;57,24;;;;
V;325506;;;Väggskåp MAD Hoffman;53,36;;;;
V;325508;;;Väggskåp MAP Hoffman;53,16;;;;
V;325510;;;Väggskåp MAS Hoffman;53,67;;;;
V;325512;;;Golvskåp MCD Hoffman;53,36;;;;
V;325514;;;Golvskåp MCS Hoffman;53,60;;;;
V;325516;;;Golvskåp MKD Hoffman;53,36;;;;
V;325518;;;Golvskåp MKS Hoffman;53,36;;;;
V;325520;;;GolvskåpTbh Hoffman;50,74;;;;
V;325522;;;Väggskåp tbh Hoffman;53,27;;;;
V;325524;;;Flänsmateriel Hoffman;53,27;;;;
V;325526;;;Golvskåp tbh Hoffman;53,27;;;;
V;325530;;;Dataskåp Hoffman;55,61;;;;
V;325550;;;Dataskåp Electro-Enoc;60,59;;;;
V;325600;;;Xracks EFB;27,78;;;;
V;325650;;;Rack 19" Cabinet system;50,00;;;;
V;325700;;;BRYTARE HAGER;57,96;;;;
V;325800;;;Uttagsram 4 Murr;49,47;;;;
V;325820;;;Väggkapsling II Hoffman;33,02;;;;
V;325840;;;Golvskåp II Hoffman;33,02;;;;
V;325850;;;Anslutningslådor Hoffman;33,02;;;;
V;325860;;;Generella tbh Hoffman;31,13;;;;
V;325870;;;Manöverpanel Hoffman;31,13;;;;
V;325890;;;Plastkapsling II Hoffman;31,13;;;;
V;325894;;;Rostfritt II Hoffman;31,13;;;;
V;325970;;;Apparatskåp Eaton 2500;24,19;;;;
V;325994;;;Solar Netto;50,00;;;;
V;325995;;;Solar Plus;50,00;;;;
V;326100;;;Kabelflänsar Elektro Linden I;57,07;;;;
V;326102;;;Kabelflänsar Elektro Linden II;58,46;;;;
V;326108;;;Tbh kabelfänsar Elektro Linden;60,89;;;;
V;326110;;;Multiflänsar Trelleborg;56,57;;;;
V;326204;;;Isolator MERICON;61,73;;;;
V;326206;;;Isolerad distans MERICON;61,65;;;;
V;326210;;;Jordfläta Mericon I;61,36;;;;
V;326212;;;Jordfläta Mericon II;78,34;;;;
V;326214;;;Jordskena medTbh Mericon;61,69;;;;
V;326218;;;Kopparskena solid MERICON;61,10;;;;
V;326220;;;Metalldistans MERICON;61,72;;;;
V;326222;;;Spiralslang Spirflex MERICON;61,66;;;;
V;326224;;;Tbh jordfl & isol strömskena Mericon I;60,95;;;;
V;326226;;;Tbh jordfl & isol strömskena Mericon II;51,91;;;;
V;326228;;;Övergång/distributionsblock MERICON;60,89;;;;
V;326300;;;Profilskenor MP;66,32;;;;
V;326400;;;Membranflänsar S3D PB =S=O;63,54;;;;
V;326500;;;Anslut. & Avgreningsplint;67,26;;;;
V;326600;;;Monteringsskenor Hoffman;71,55;;;;
V;326700;;;Anslut. & Avgreningsplint Ensto;69,39;;;;
V;326800;;;Flänsmaterial Garo;59,41;;;;
V;326830;;;Flänsmaterial Rutab;77,65;;;;
V;326970;;;Avgreningsplintar Eaton 2500;24,19;;;;
V;326994;;;Solar Netto;50,00;;;;
V;326995;;;Solar Plus;50,00;;;;
V;327100;;;Brandkårsbrytare sol Elrond;68,40;;;;
V;327201;;;E-mobility tillbehör Next Green II;52,13;;;;
V;327500;;;Stock Laddstationer C-TEK;46,81;;;;
V;327501;;;Laddstation Njord Go CTEK;67,02;;;;
V;327502;;;Laddstation CTEK II;46,81;;;;
V;327510;;;Laddstolpar Hager;35,64;;;;
V;327511;;;Laddstolpar ll Hager;35,64;;;;
V;327520;;;Entity Pro Garo E-mobility;35,64;;;;
V;327521;;;Entity Home Garo E-mobility;36,17;;;;
V;327525;;;Entity Flex Garo Elflex;33,51;;;;
V;327530;;;Laddstationer Charge Amps;32,98;;;;
V;327532;;;Tillbehör Charge amps;32,98;;;;
V;327540;;;Laddstationer AC II 8D =S=;64,89;;;;
V;327552;;;Laddstation One & Duo Eldon;63,83;;;;
V;327553;;;Laddstation eHome Eldon;62,77;;;;
V;327555;;;Hemma Easee;34,57;;;;
V;327556;;;Projekt Easee;36,17;;;;
V;327590;;;Tillbehör Solplanet;38,30;;;;
V;327593;;;Batteri Solplanet;38,30;;;;
V;327595;;;Växelriktare Solplanet;43,62;;;;
V;327605;;;Solceller Longi;35,64;;;;
V;327640;;;Växelriktare Growatt;51,60;;;;
V;327645;;;Tillbehör Growatt;59,57;;;;
V;327650;;;Växelriktare Huawei;32,45;;;;
V;327655;;;Tillbehör Huawei;32,45;;;;
V;327660;;;Montagematerial Solceller Novotegra;38,30;;;;
V;327665;;;Solentra I TJB;43,62;;;;
V;327993;;;Solar Plus Lastbalansering;50,00;;;;
V;327994;;;Solar Netto;50,00;;;;
V;327995;;;Solar Plus;50,00;;;;
V;328100;;;Skensystem Canalis KB/KN YA =S=O;34,97;;;;
V;328104;;;Skensystem Canalis KS/KT/KR YB =S=O;42,49;;;;
V;328108;;;Modular CEE for Canalis SR =S=O;50,00;;;;
V;328200;;;Skensystem BD01 I Scanelec;47,51;;;;
V;328202;;;Skensystem BD01 II Scanelec;40,38;;;;
V;328204;;;Skensystem BD2 I Scanelec;41,79;;;;
V;328994;;;Solar Netto;50,00;;;;
V;329100;;;Plint W-serien P110 Weidm I;63,16;;;;
V;329102;;;Plint W-serien P110 Weidm II;58,27;;;;
V;329104;;;Plint W-serien P110Weidm III;57,65;;;;
V;329105;;;Plint W-serien P110 Weidm IV;71,84;;;;
V;329106;;;Tbh plint W-serien P171 Weidm I;57,04;;;;
V;329108;;;Tbh plint W-serien P171 Weidm II;55,00;;;;
V;329110;;;Tillbehör plint A-serie P173 Weidm;53,06;;;;
V;329112;;;Plint A-serie I P130 Weidm;54,08;;;;
V;329114;;;Plint A-serie II P131 Weidm;54,08;;;;
V;329120;;;Tbh plint övriga P179 Weidm;28,57;;;;
V;329122;;;W-serien Insta P111 Weidm;57,96;;;;
V;329124;;;Plint Z-serienTbh P172 Weidm;33,67;;;;
V;329128;;;Tbh SAK plint P170 Weidm;55,44;;;;
V;329132;;;Plint Z-serien P120 Weidm III;57,98;;;;
V;329140;;;Plint P-serien P126 Weidm;54,49;;;;
V;329142;;;Plint Z-serien P120 Weidm I;68,78;;;;
V;329144;;;Plint Z-serien P120 Weidm II;60,51;;;;
V;329146;;;Tbh plint övriga P179 Weidm II;54,90;;;;
V;329148;;;Plint SAK-serien P100 Weidm;57,24;;;;
V;329150;;;Apparatplintar P142 Weidm;54,59;;;;
V;329152;;;Plint övriga till TS 15 P141 Weidm;54,59;;;;
V;329154;;;Tbh P-serien P174 Weidm;57,24;;;;
V;329156;;;Plint övriga P140 Weidm;57,89;;;;
V;329160;;;Montagehjälpmedel D900 Weidm;53,16;;;;
V;329162;;;Elektronikkapslingar tomma P420 Weidm;58,16;;;;
V;329164;;;Märkband D900 Weidm;54,49;;;;
V;329166;;;Märkning övrig (Dekafix) P177 Weidm II;54,90;;;;
V;329174;;;Etikett P176 Weidm;55,71;;;;
V;329178;;;Överkoppling riderserien E533 Weidm;60,92;;;;
V;329179;;;Övervakning E553 Weidm;56,63;;;;
V;329182;;;Märkning CableLine I P178 Weidm;53,27;;;;
V;329184;;;Märkning övrig (Dekafix) P177 Weidm I;53,37;;;;
V;329186;;;Märkning Multicard P175 Weidm;53,47;;;;
V;329188;;;Industridon RockStar P201 Weidm;49,39;;;;
V;329190;;;Industridon P200 Weidm;48,98;;;;
V;329200;;;Plint 1492-J II B549H A-B;61,22;;;;
V;329202;;;Plint 1492-J I B549H A-B;67,24;;;;
V;329210;;;Plint snabbansl 1492-L B5210 A-B II;62,24;;;;
V;329220;;;Tbh plint 1492-W B5207 A-B I;69,80;;;;
V;329222;;;Tbh plint 1492-W B5207 A-B II;66,12;;;;
V;329224;;;Anslutningsblock 1492 B5187 A-B;60,41;;;;
V;329226;;;Tbh 1492-J/K/L B5214 A-B;60,10;;;;
V;329230;;;Märkning till 1492-plint B5215 A-B;81,43;;;;
V;329244;;;Plint snabbanslutning 1492-L I B5210 A-B;66,53;;;;
V;329300;;;Plint NSY VA =S=O;67,82;;;;
V;329306;;;Kabelkanaler AK2 VA =S=O;38,78;;;;
V;329350;;;Han-kontakter;35,71;;;;
V;329400;;;Kabelkanal slitsad Canalplast;73,06;;;;
V;329402;;;Kabelkanal täckt Canalplast;72,06;;;;
V;329404;;;Kabelkanal slitsad HF Canalplast;73,06;;;;
V;329406;;;Spiralslang Canalplast;73,23;;;;
V;329408;;;Tbh kabelkanal Canalplast;74,82;;;;
V;329500;;;PGS 10 mm PT, PTE 9,5 mm Fleximark 23;50,41;;;;
V;329502;;;Dymo Fleximark 40;63,00;;;;
V;329504;;;FL52 PG/PTE Verktyg Fleximark 80;47,14;;;;
V;329510;;;PTE 12 mm Fleximark 37;50,31;;;;
V;329514;;;Flexilabel Fleximark 69;50,00;;;;
V;329516;;;Flexiprint Fleximark 70;56,33;;;;
V;329518;;;PTE 6 mm Fleximark 36;50,92;;;;
V;329520;;;Märkning syrafast Fleximark 41;51,63;;;;
V;329528;;;Tbh Mini/Maxi Fleximark 50;50,31;;;;
V;329530;;;PGS, PT, PTE 19 mm Fleximark 33;28,57;;;;
V;329532;;;PTE 25 mm Fleximark 34;50,41;;;;
V;329534;;;Kabelmärkning FCC Fleximark 17;38,67;;;;
V;329536;;;Kabelmärkning syrafast FCC Fleximark 16;50,00;;;;
V;329540;;;Montörpaket Fleximark;33,67;;;;
V;329542;;;Dymo XTL tillbehör;39,98;;;;
V;329600;;;Montageskena SOLAR;60,83;;;;
V;329700;;;Kabelkanal Rittal;67,35;;;;
V;329702;;;Tbh kabelkanal Rittal;67,35;;;;
V;329704;;;Spiralslang Rittal;67,35;;;;
V;329710;;;Plint I Phönix;34,69;;;;
V;329711;;;Plint II AE Phoenix;14,81;;;;
V;329712;;;Plint II Phönix;35,19;;;;
